username,password,age,annual_income,spending_score
mmjn873b,DyXgVQcKAk,44,57,53
6vgqjbs6,vPJADRmEUC,70,35,39
liiz3iag,etSpZZ82aL,55,36,56
sr47l355,9sjW65tVYN,62,52,73
pit4s4a9,rZ4ty7V8Ll,18,99,75
indo6c3f,WOTFVkybyA,56,79,11
n68rxayh,VA9E1sSU9i,41,110,81
ldlnyddz,CeOqpm9IfT,23,7,87
3k0qqi8v,tobxiyVM9g,70,124,35
yyv0wuwq,KcRtJEVomp,26,29,33
sxwklkjm,DIL30zmMg8,44,71,52
nkyk0rh7,pZVp5GFgjI,62,130,24
qad69gge,MqRZCResVO,51,36,91
4w4pi5w9,3mGIxbVlUR,34,32,51
a8pj1c69,FLcmOIpauT,23,75,45
9lurmplp,WwrkGSiwAh,28,41,36
zydv6t2a,qGMEqRWTYp,59,127,17
qyjaec4m,ZaGnTwm27E,69,146,72
jh5oy5mr,zvzdezs8MB,48,138,100
av5r3lm8,CQd8SOyzkt,52,129,5
se7vh7cp,VwLnSCzIGE,26,82,21
fhc73j0m,UnhYK2TzUv,51,7,57
md33nqsm,4AySyr56dh,65,57,29
ar52wi4g,LRpZa0xhXJ,46,29,56
e430l6vt,2TBKzJwaWy,47,112,25
iuea8yhv,wa5AlUjZxB,41,82,87
c78nbpgs,I3H0bfaqML,57,17,71
c7kgwtzb,A0Jo6eQ0rW,68,134,13
i7xmij1u,vJq1m5JUiH,35,68,5
j1f7ws7x,v4lfherp0K,25,121,99
kj4u696m,JiXPT4c379,63,89,31
t7icsacw,dPXKVV79uX,31,114,88
diltrj8o,GmpLzUsZeY,24,103,73
4khjoyza,uZR6iGLoNF,20,73,22
6dbjptyf,aRO4O4qIfz,28,131,61
g2xyt9kl,t77EEdjFZk,27,82,2
xwx3bxx7,j9rdHEn9E4,50,49,12
bcuxu0gi,QMMqXZTMYC,31,75,58
l5doe4vs,20v4UskZvb,60,128,5
h2uig81s,kZ5lPqL90T,34,137,82
ht7tev8l,grNba0Acuk,68,83,90
lr1l4pcu,XxUIQAmrOx,19,84,74
k7l6tfe0,7VTMsJSJq4,42,142,92
jjlnyz91,blKGuogw6h,52,6,3
mw08z5e0,fB8Miv2Tvh,52,67,30
3wqhuj9o,JU10U7f2hM,60,11,34
86o7jl72,b3yYmM7lCX,34,33,17
gnjc7b5m,qjy0fdDfBy,70,22,39
gfn5xc8k,woN4Cdbaa8,46,2,82
lmna3h1a,KEFTC0QsfQ,41,90,26
uk2bwtaq,QanuZa4KwD,30,103,34
4z3fk13k,rpX57pkctQ,46,131,97
w3lk6z9a,2FkmNAmC0N,29,52,72
nak0yph4,AIUJ49xSKK,46,67,95
kybi0xhp,cg64kQqH2O,45,85,69
zvu1rmaa,9g7lfnEZFp,51,8,40
3qec7oao,GngkJIjCg2,35,4,48
gocuuafn,3vTLrTVmmH,64,41,21
r8hrjsly,I86zb5AsWS,29,82,89
taicv6gw,tcAfWqtsD0,36,47,18
a5rja877,ss6RyVTNGN,28,56,1
wvkhg4er,7K4kTMFyZg,30,45,87
3bp8uv4a,0msH15PyGm,25,24,53
f2okfzsu,U0e2dvoBhK,43,103,17
bag9gtmt,3xu9DQcFZP,63,104,88
m2kg2bzu,Xb9VFEBLgW,24,132,59
4q6v61xu,jgRoG91vqD,50,51,97
w0h3uwqd,CxHcPByxlp,65,56,6
j4kzwjh3,ba9z651teF,45,96,100
o1vjvnk9,vMpoXozrhd,34,56,11
xqwb7xi5,3DWWFTdbmW,27,113,36
cjthfx4q,roLzBfBBuN,27,12,86
ay244ieq,WqIrHyN1r5,39,119,24
ec0o19tz,4Z3yBOHjEH,23,105,78
kzzjxkoh,7Jq3gHAyee,33,9,16
cnsjckat,JqE9g1vYKP,37,35,78
2p1kb2r4,SakSaO0mUl,53,114,8
g40cf41h,bEW94GxL2l,32,10,38
i8xe0x6v,ZAnfJiblxI,60,36,4
unioi8e1,9DciP4JI2Y,58,39,35
ky6rgmnd,CKWbnbUwre,55,141,1
htlqin2o,L8IBIljs2l,48,61,98
lkabfq3x,jNr3GR1N09,48,65,14
8kiwuujd,K2WjBmexkB,52,80,57
lqqa2mz5,fMvjf3GLX1,32,25,88
fe3jdc98,96pYZmOn2O,67,109,56
gmiqi5lp,6xxKiBe2JS,61,28,1
wbukyasb,RCwvZGLYeN,53,78,92
hibob98m,wcC66FKUzF,40,14,15
x7wrnb58,c6DK3zA6Pd,66,31,8
vvijo02x,Iw7YvpmJDD,51,79,36
ma36hclp,587xh6hSkt,55,134,39
iy0lruh9,X1eeEaxj0z,64,23,48
8bslbw6b,JFDsi4x7Pr,25,13,90
b764piwt,vit8wTTtKV,32,51,88
ndc8pmm8,Tw1THylqh6,22,137,87
eikxbikd,HuzM42cfEh,44,82,88
tlrfp9xd,uH6z9Pxe49,33,21,33
9k9wkmnd,48JoN2YxrX,47,75,35
cwc9euap,lK8ZsCG3HG,62,91,56
wopsppm2,PBC64SHgdf,37,16,16
z4e4k0jo,6IVNgY2U6O,25,101,48
i3t5ymfc,DsaojUk3DD,52,134,17
yeyo1xnt,CIILFpnqCm,32,82,39
wed33j8p,kaoSB5izM7,56,58,45
6au0vpbj,VDM0DNQrDt,68,47,81
zu6uths8,5BohPxkv7N,66,107,34
dm4q9us2,SA4hTHCNuf,40,10,56
2w3mrkw1,GazU2NNLm5,45,139,10
st7bny7o,nK5u6asznP,62,89,84
6g2ajwl0,z0Kb0XLM89,27,19,24
8wg9it9k,j7s2V7iO2g,54,145,87
wfenlmkx,3yO50shClN,51,89,34
he21co84,KsLT0cWu5o,51,25,6
b8j17jqi,R2yu3zj7xP,56,29,51
bo1xrqid,icV4YUY0a8,41,27,2
4pqsbcl0,fAhrMdcOxz,70,97,8
xcn7sr3m,mbx4SfGkLu,44,10,38
ubh7wy8j,W13nitTrQ8,30,47,66
1pwrmo57,3vnkCZgFEm,60,102,49
uhsedhsk,XqIZn8bQ67,58,114,80
jn2lptvq,FxjyUrL9IP,65,87,65
654fh5kq,PwO0t5c9SA,25,73,12
oikts72l,0Gamy6T8yh,51,99,85
uv3hxj0v,yTbLByObbm,21,43,84
no30scd0,aycPEWBrHT,21,106,69
h0a6zl0j,YPUsxacgAF,50,35,53
lioxs57k,0tj7K7ftBk,26,134,34
rjcpludc,AX22yk2HkM,23,25,84
7q2ituhu,TPqTmMlSyI,66,20,22
lh7ss9z0,LYmFNBx3fv,27,135,86
choia243,ToHAzUw83k,59,147,7
ojl8pnmr,gFHdrrkcuZ,28,4,1
g1u2xdgs,ptGLfCdUU4,20,123,100
olygsmbd,LnTFIApTKX,58,142,24
thenswtn,sFd3g2NSRq,50,140,66
1vo5b6gc,CmrVRUeQZj,48,24,56
307mt2py,K0i6Y8ozY0,53,89,82
ayxel3gw,2H0FKndTT7,42,113,91
zchg4wci,Rm0FmZH0W4,49,44,8
acb02vbx,jdF0NZR2F3,26,40,79
5d7hj01s,k04fgoUthI,61,97,52
6tdrscmn,Z7QM5EWOyi,66,149,25
rf3zymen,tyghZrNlkC,63,111,50
rol8b3ij,XhEhAIBjkM,32,95,40
bwlajls9,y8QZmvaCer,63,58,68
ezxt5anz,yLOjZAFIoR,35,74,27
unas0z1w,O5N0odDZCV,61,112,55
55ownkay,qiOtYicXzU,35,121,30
36j2ucj1,Pbjf3eHEMC,27,119,100
d2e9pubt,BsWwIuMiz9,32,67,48
531k3vlp,75Dn4yFMyP,50,20,61
5t79nz2s,tVeUl9YttS,55,80,2
h6oxdy8t,MQQliifTIW,70,15,87
ul9o0ha1,qNPvRJDxH6,18,100,60
54g619ji,TaPIC5Isrw,63,29,93
9xbvuxvc,6HkTrZ0u7U,67,54,53
z1kl4rgx,ZyQbUqrDTf,70,70,82
gbm12rxe,vRrxCo702i,24,1,92
3nq0ymjq,fRABq9CAYX,42,10,28
1jdyek08,qFzGbMtXRH,34,61,81
w4y8nuot,AeehwJa6Y5,64,119,56
4yd22bik,e9cJcPKQ55,70,7,16
ih09f8sq,HFnpDXG7IV,26,35,79
57oz3dj5,QYDGQFjr4f,36,44,73
qjj1a9ji,jCYFrCj9GP,39,91,39
zk7mxgci,at24ApfbdV,29,1,50
8viplzvl,uYre74Djyv,36,103,86
lryhfpr3,gJ17U1bskD,58,39,79
wm63mhed,21ftwKAmfe,21,142,52
5osi5yww,lk3mMWlia0,30,36,83
5q8r262m,4585aTDelo,54,117,70
ssp8n82n,YFBsDYQ7Ea,54,91,29
3gew5ty9,FYDxz9bhEi,52,46,78
ylssdds5,NsbD0RFuZP,43,131,19
kn1kwtdp,FXoZvGxD1v,42,118,68
7fslfwmt,hS3H72L63R,67,87,26
45b67wu0,F26SIFkogi,67,73,96
19s9owf8,UzIh4reJLg,64,38,99
bg7qfjcw,UGAdKr1npE,70,119,17
j565glew,aAPNBtwTBy,62,106,24
0rc6jaes,jDC16hQSJo,26,66,49
5ucfsnz8,Zkacw4Wo3v,53,20,57
h9f9sg9a,XNYO9k3NWF,50,9,41
3adsmgp4,rAq6iPYYhp,28,93,71
ues7652n,Y3d3BTezRY,67,94,61
5lrbd9hx,gcT6vSsLnk,51,87,2
jiyt81qq,A7oKIBvHKx,66,118,27
2zeavgr7,98fisgqReZ,38,102,82
9kzjowlq,zDPHppsmM5,64,121,99
td450666,9JziGhcANr,67,111,31
xkulzbed,LX3erD7Bnb,51,37,23
v7nzvgzi,KZxYGarNK6,68,94,57
masgk0ja,EYwSRw4n1I,22,112,59
lm74nl5y,5LnoYCgKud,38,49,95
7e5vlikh,3Wohgszwld,41,96,50
ajk51t14,o314Q94ds2,40,127,96
zojrn3a9,iqFF6SbbAr,46,112,88
yhy0dqp2,BszmkWgadQ,61,138,29
owu07adm,5deTEiJxX6,58,25,88
gbktbs9q,Cw4aQ3SPny,47,137,43
qijplnkg,QjukR5Ul4J,22,30,16
7j8s8lld,0SWV0EA6KX,47,126,28
fnoayv9f,UJ1VaehmjK,41,139,31
rfzb5srw,X9YUsi8OLg,28,63,11
51qs2klu,BsDlbMKy4q,20,121,8
7fvetvf0,twlm7XdWwc,20,86,42
t6a9kh64,EXteEr08ZC,25,7,39
68mv51z3,1HzRZPz1Dt,59,17,45
1669pm3x,ODykXEkI3R,28,38,86
8zck8c7i,Heagb1McFU,40,54,64
75zvy412,fTgcW8VYzR,42,90,67
p86lbh2n,DZptE0d1c3,21,81,49
mbdkbfu3,ccuJPlEqAH,31,126,20
auhfxl2p,2QzIJUSsRj,44,85,14
o4ubb5mo,z5K5yhIF9c,49,71,42
zkf2lc4e,8eUuaiiEON,70,89,24
j416osi4,T1JkruChH9,49,124,44
azhb6382,tMCXBnXrlt,40,77,67
zjjbarlq,4GBPFl2x0Q,24,98,51
0drf0rre,WP7UeDRTiV,49,125,92
4s2ebsvg,RTHCbLozXr,26,130,5
jd8ir13t,SbHKiEJWEq,65,84,4
wjkcp0r5,bjGTpcGL7w,55,19,61
5c33ium2,9LVecSQoKF,59,140,10
1xg6tvf7,OrrzUOMJv7,20,26,100
onpr4n3n,Rxkxhx5RHk,41,118,24
lbdt61nf,auBoOlAzcT,40,59,11
i156evcd,hkPvJ0BDed,57,90,22
fh4ae1gg,i6mZaGRPB3,39,98,75
uaqft5wy,mII448ZRgw,24,101,78
u1g9de3j,iGQqcA7Bbp,37,137,47
6w81ed48,3MgbEejZTj,59,26,43
o1yw2f53,Y8nkDJP3Tv,18,145,28
nrmfj509,aATHWPkgcl,49,84,16
mc7wktuv,kFT3VxaqYV,38,148,90
cr1e39if,k8uMNfiiPk,38,57,47
hxaqf7n4,DBXl4W9i4E,55,15,31
0jfd7c1t,zSnPHESCRs,48,42,38
9aeyo6u8,jFuLGazT2s,28,112,3
5g8p5p9e,x4pmvnjkGI,54,129,97
gjfsvclk,L4Kl2N13Wo,28,13,28
n916g1b6,NqCQ2StHMW,20,115,34
td3amoj9,pMTzLFOyEo,20,93,79
f7zer4ta,TZ9I0Ho33E,59,69,63
iok2zmlj,KFGG5nax6V,60,106,12
2229zwhc,SArkeXIg1A,42,120,31
zy8wkix6,Onc5pxF5y9,46,34,90
k755b7l4,QNiW5Q7e7v,45,90,59
rdjyvd9b,5eUCFMnpmp,24,74,57
muh24yoe,2BiWoISkQb,63,115,47
vr3dvrqb,19MvwZgGyb,67,81,48
jdpvb7yv,w7YQZwFAGI,64,109,53
jan8n40b,BpY0LkXe3i,64,98,61
8bqtx4vi,SEC1DQ98Ba,39,25,51
zl2sr1jg,OqbDH2Z2y7,64,99,50
69o54nph,TQhoE8YTUK,28,101,92
vuex7kzn,FdrywPx8g9,31,105,7
lpabwkzz,eDAJRM6TE4,23,8,16
x2ee8vpq,6oUsCkIRWO,19,127,84
no9rkji8,uyH57w2ZuP,29,84,60
okxwbqop,ad0CZv4ni4,47,68,36
ukel13cp,rfQAzVjRKE,26,1,16
1qshnfyz,9H1KvA8Dyc,51,44,94
y37xk7uv,YB5atKtWkX,43,46,75
5wz7h72y,F3KdpItPys,37,103,69
32sr77ir,nYoJTEkshu,47,32,56
ay7f8e0l,QlfqqNDkjM,61,138,24
qn5b4a37,kzwFLb4e2l,29,142,30
lq03p9mc,i2kRTjkDwB,60,149,32
7y0bo4xr,RWdwFNUqJY,45,19,62
adv2yh36,XAMZ4f66CI,65,85,80
il7aaakh,muzVP1Iuda,51,104,54
h5e57r65,DZH5HHNi4x,27,42,38
mjr2rlwc,NqoBkgR2B6,33,23,80
bsmcd8qq,uI9ffNWGsG,38,104,30
wpno8lie,mSnc1BxrtJ,63,101,73
lt5guroi,081gVz8BRJ,19,58,87
ggqm1qv7,spcUdGoCes,32,2,100
9ho5yahx,VSsYMQb8OS,62,63,40
k6n3kfjw,pSec5DZXhP,27,75,92
j9k7ocr9,lomIqYP1Q3,65,74,15
8erj682c,ufMUenN2tF,32,96,25
7xmqfnss,5YvVHLpGaL,22,27,55
c52d65ir,ELFoJYKVvA,58,52,23
3nsxik71,FljjB4kqNQ,43,110,13
81kgpg44,oT8B9LhEn0,59,11,31
ltmcplfg,myZafh0tzc,60,142,45
c2zwfneo,8awVFJksrU,63,131,97
94cy4gyr,4PD8WppWiM,42,39,78
p73y727q,FaDynfGv3B,60,33,30
mv3vksrv,O4G7fKIXiM,63,110,51
64n12t7r,hbpx0PWo16,21,5,94
rhqkxc4f,ARhPblkylY,26,13,61
me1zevre,xWX8DpOPJA,60,43,80
hvv01bvv,Od42uyBDCr,33,121,26
upmz6xtf,4ZXhaN9JMi,60,130,42
zv2jvgzz,HvYZEskEcV,63,101,29
ij05q79n,KJtFpTM6R0,63,102,18
aj1kub8i,BjxRTJsRJN,26,86,95
0j1fzkon,uQO53nQXZi,36,74,93
y40a2zmg,ZO1CE44LPD,40,35,35
9t7ck358,JqKMGCTT2V,40,13,82
v1eqw747,Jk4HPCcpVX,53,55,45
id5saji3,5tMkcPPYAV,66,144,41
vtudshdz,JZGC6BVF3E,63,2,77
odcuec86,d7zbuVll9z,49,24,24
